Contrast,diff_kg_ha,lower_kg_ha,upper_kg_ha,diff_bu_ac,lower_bu_ac,upper_bu_ac,p_equiv
"Rolled, no control - Tilled, cultivation",-209.9,-518.5,98.6,-3.1,-7.7,1.5,0.0834
"Rolled, mowing - Tilled, cultivation",-85.9,-394.5,222.6,-1.3,-5.9,3.3,0.0217
"(Rolled, high-residue cultivation) - Tilled, cultivation",-112,-420.6,196.5,-1.7,-6.3,2.9,0.0295
"Tilled, mowing - Tilled, cultivation",-364.2,-672.7,-55.7,-5.4,-10,-0.8,0.287
