model,term,estimate
Ryan/Spitters,Y0,8395.965618462295
Ryan/Spitters,iw,6.405521759470714e-4
3-parameter,Y0,8518.787793507207
3-parameter,Lmax,4946.581748741687
3-parameter,K,557.4571629298537
