model,df,AIC,R2
Linear,58,1048.9264204951503,0.38515497392791953
Hyperbolic (Ryan/Spitters: Y0/(1+iwB)),58,1045.9938687186295,0.41448348869928076
Hyperbolic (3-parameter: Y0 - Lmax*B/(K+B)),57,1047.1206075523362,0.4229435875856915
