model,term,estimate
Ryan/Spitters,Y0,4968.150523020583
Ryan/Spitters,iw,3.956201235466627e-4
3-parameter,Y0,5077.869261278999
3-parameter,Lmax,1871.2865940361232
3-parameter,K,367.9414330586064
