model,df,AIC,R2
Linear,58,914.6510198791217,0.5126586323565976
Hyperbolic (Ryan/Spitters: Y0/(1+iwB)),58,908.9141158614473,0.5570974489383927
Hyperbolic (3-parameter: Y0 - Lmax*B/(K+B)),57,904.509772209899,0.6019368305275239
